substrate,eps_r,tan_delta,h_mm,h_over_lambda0,W_mm,L_mm,area_mm2,eps_eff,R_edge_ohm,matchable_by_inset,inset_mm,Q_rad,Q_c,Q_d,Q_t,efficiency,bandwidth_pct,directivity_dBi,gain_dBi,in_thin_substrate_range,meets_bandwidth,meets_efficiency,meets_spec
RT/duroid 5880,2.2,0.0009,0.127,0.0010343897644016116,48.532148695626454,41.34053702073167,2006.3450898471997,2.1907956570136546,32.248557439589696,False,nan,586.3392306836434,94.96163518011237,1111.111111111111,76.12629346344622,0.12983319123076006,0.5822080244812077,7.150806697681239,-1.715335982784922,False,False,False,False
RT/duroid 5880,2.2,0.0009,0.254,0.002068779528803223,48.532148695626454,41.289453632120576,2003.8659032352498,2.182002319204034,88.51008121028605,True,9.466881409338221,292.5017652544717,189.92327036022473,1111.111111111111,104.3398380343037,0.35671524219188816,0.6776965881850906,7.1582426072338485,2.681459275565572,False,False,False,False
RT/duroid 5880,2.2,0.0009,0.381,0.0031031692932048343,48.532148695626454,41.23533742791452,2001.2395275658782,2.1735902818233237,133.40279813403106,True,11.969773508039564,194.53047744951957,284.8849055403371,1111.111111111111,104.70357624985454,0.5382373889306111,0.6753423059119409,7.1654077129727725,4.475146342572536,True,False,False,False
RT/duroid 5880,2.2,0.0009,0.508,0.004137559057606446,48.532148695626454,41.17839952632731,1998.4762088596312,2.165532761379831,163.50581790727668,True,12.908860844574194,145.52723065033396,379.84654072044947,1111.111111111111,96.11495361855313,0.6604602670512824,0.7356889910629294,7.172318680708196,5.370785638753892,True,False,False,False
RT/duroid 5880,2.2,0.0009,0.787,0.006409958618772192,48.532148695626454,41.04432857511071,1991.969457519423,2.1489607942583975,198.66860873464472,True,13.656196082344918,93.37502594118222,588.4630463523499,1111.111111111111,75.13800732541009,0.8046906179468181,0.9410427155798847,7.186681609015294,6.242970987294424,True,False,True,False
RT/duroid 5880,2.2,0.0009,1.575,0.012828062038838883,48.532148695626454,40.61128090682382,1970.9527236898296,2.10901726240966,226.59263282731789,True,13.984327346899487,45.76203064178814,1177.6738221155667,1111.111111111111,42.370531776089145,0.9258883660070363,1.6688748640241649,7.222147228785723,6.8877335000354245,True,False,True,False
RT/duroid 5880,2.2,0.0009,3.175,0.025859744110040286,48.532148695626454,39.56850321789995,1920.3444818344944,2.0490828468559887,233.00662765140703,True,13.71795613741243,21.661113311179285,2374.0408795028093,1111.111111111111,21.058438583964108,0.9721771121106625,3.357814034765038,7.2777177789908905,7.155171701971166,True,False,True,False
RO4003C,3.55,0.0027,0.203,0.0016533946627836785,40.70041245692691,32.555311266405525,1325.0145962063445,3.5134759527597916,55.36608017645946,True,3.2806319034857436,456.98587901780166,151.7890704060064,370.3703703703703,87.13578620461494,0.19067500814663163,0.8115000220171734,6.302732605812148,-0.8943296580270608,False,False,False,False
RO4003C,3.55,0.0027,0.305,0.002484164394822768,40.70041245692691,32.5377694420068,1324.3006367180694,3.496270318446733,92.06226931063681,True,7.687386116084516,303.90460078691297,228.0574703144431,370.3703703703703,96.38214263462258,0.31714604644041666,0.7336495352986135,6.308627125532916,1.321220143822714,False,False,False,False
RO4003C,3.55,0.0027,0.406,0.003306789325567357,40.70041245692691,32.517850922020976,1323.489944739115,3.4799210186639007,122.58839908551779,True,9.088569138529191,228.08687256316443,303.5781408120128,370.3703703703703,96.35453020917551,0.4224466280166646,0.7338597770898115,6.314280574653988,2.571999053735511,True,False,False,False
