substrate,eps_r,tan_delta,h_mm,h_over_lambda0,W_mm,L_mm,area_mm2,eps_eff,R_edge_ohm,matchable_by_inset,inset_mm,Q_rad,Q_c,Q_d,Q_t,efficiency,bandwidth_pct,directivity_dBi,gain_dBi,in_thin_substrate_range
RT/duroid 5880,2.2,0.0009,0.368333,0.003,48.532148695626454,41.24086494309865,2001.5077897547121,2.1744129564412558,129.6483299082269,True,11.82461849669253,201.27001895935314,275.41350015691756,1111.111111111111,105.27031686125693,0.5230302923681667,0.6717065224339654,7.164704742703955,4.349973169184698,True
RT/duroid 5880,2.2,0.0009,0.466139,0.0037966101694915256,48.532148695626454,41.197466584183864,1999.4015741467133,2.1681509996871906,154.95508144824524,True,12.676471769388632,158.73124514892106,348.54589850366966,1111.111111111111,99.31453628234065,0.6256772961691577,0.7119876718681643,7.1700678456553,5.133571806692342,True
RT/duroid 5880,2.2,0.0009,0.563945,0.004593220338983051,48.532148695626454,41.15247272273512,1997.2179253724926,2.1620894708574636,173.22810989820786,True,13.146710901562175,130.938713196148,421.67829685042176,1111.111111111111,91.67048230942889,0.7001022086730396,0.7713573565587083,7.175286392620105,5.626900870225128,True
RT/duroid 5880,2.2,0.0009,0.661751,0.005389830508474577,48.532148695626454,41.10596694158438,1994.9608998864783,2.1562179012345264,186.52758879851132,True,13.432307303725356,111.35445243207992,494.8106951971739,1111.111111111111,84.02438251251422,0.7545668868855017,0.8415496340185029,7.180367007046611,5.957344435807135,True
RT/duroid 5880,2.2,0.0009,0.759557,0.006186440677966102,48.532148695626454,41.05802730052576,1992.6342860982068,2.150526571967819,196.3746788522245,True,13.616571201172125,96.80796943351471,567.943093543926,1111.111111111111,76.97952149437855,0.7951775245864046,0.9185378996700155,7.185315886225629,6.18995685004216,True
RT/duroid 5880,2.2,0.0009,0.857363,0.006983050847457628,48.532148695626454,41.008726798865965,1990.2416268208844,2.14500644639875,203.80698959944792,True,13.740185457139045,85.57548002573434,641.0754918906781,1111.111111111111,70.694015162498,0.8261012984237872,1.0002349228983443,7.190138836389637,6.3604718840375725,True
RT/duroid 5880,2.2,0.0009,0.955169,0.007779661016949153,48.532148695626454,40.95813379108688,1987.786239444391,2.1396491097039023,209.5210621659113,True,13.825070985401648,76.63922081430715,714.2078902374303,1111.111111111111,65.15378741998221,0.8501363496093789,1.0853224426759307,7.194841304307871,6.4897271630275295,True
RT/duroid 5880,2.2,0.0009,1.052975,0.008576271186440679,48.532148695626454,40.90631236117397,1985.2712341022375,2.1344467149392283,213.98774755492207,True,13.883937587372895,69.35955535083131,787.3402885841824,1111.111111111111,60.28554973153791,0.8691743974799768,1.1729524688199293,7.199428405786525,6.590497657778421,True
RT/duroid 5880,2.2,0.0009,1.150781,0.009372881355932203,48.532148695626454,40.85332266041391,1982.6995300656135,2.1293919346981225,217.5303915055437,True,13.924589837349632,63.31428826444847,860.4726869309345,1111.111111111111,56.00240770295541,0.884514526469079,1.2626528613105845,7.203904951428569,6.670954649081664,True
RT/duroid 5880,2.2,0.0009,1.248587,0.01016949152542373,48.532148695626454,40.79922121282928,1980.0738705667877,2.124477917705888,220.37525475598613,True,13.952048268333359,58.213501668169414,933.6050852776866,1111.111111111111,52.221333176686194,0.8970656579698644,1.3540691317903064,7.2082754699615395,6.736517780563547,True
RT/duroid 5880,2.2,0.0009,1.346393,0.010966101694915254,48.532148695626454,40.74406119187619,1977.396836227839,2.1196982497657144,222.68374506573872,True,13.969669531552384,53.851510713234916,1006.7374836244387,1111.111111111111,48.86895542038516,0.907476034992177,1.4469533581222935,7.212544229401969,6.790895877689169,True
RT/duroid 5880,2.2,0.0009,1.444199,0.01176271186440678,48.532148695626454,40.68789267156737,1974.6708572481973,2.1150469185498273,224.57317456008406,True,13.979772269977767,50.07834146877342,1079.8698819711908,1111.111111111111,45.88260949268059,0.9162166347160459,1.5411279209825146,7.216715256291323,6.836696981377455,True
RT/duroid 5880,2.2,0.0009,1.542005,0.012559322033898307,48.532148695626454,40.63076285478642,1971.8982244852305,2.110518281796245,226.13031772761136,True,13.984003627875778,46.78206332530769,1153.0022803179431,1111.111111111111,43.209582099262946,0.9236356634977205,1.636470316677283,7.220792353209173,6.875799289047749,True
RT/duroid 5880,2.2,0.0009,1.639811,0.013355932203389832,48.532148695626454,40.5727162812178,1969.081099545527,2.1061070385285676,227.42041707075228,True,13.983562593245875,43.877444025294494,1226.1346786646952,1111.111111111111,40.805793068954806,0.9299947609854179,1.732866482570836,7.224779114744307,6.909584134890837,True
RT/duroid 5880,2.2,0.0009,1.737617,0.014152542372881358,48.532148695626454,40.51379501702295,1966.221523990288,2.101808202964969,228.49327068989464,True,13.979340838555018,41.29843613378969,1299.2670770114473,1111.111111111111,38.63441760789209,0.9354934768651458,1.8302558853144142,7.228678942082816,6.93908657747839,True
RT/duroid 5880,2.2,0.0009,1.835423,0.014949152542372883,48.532148695626454,40.45403882813884,1963.3214277458806,2.097617080824373,229.38741915461767,True,13.972014222895037,38.993065764492336,1372.3994753581994,1111.111111111111,36.664638019651434,0.9402861073067714,1.928583017864522,7.232495056353493,6.965095251060173,True
RT/duroid 5880,2.2,0.0009,1.933229,0.015745762711864408,48.532148695626454,40.393485338855136,1960.382636799925,2.09352924777381,230.13307339967253,True,13.962103818366298,36.91987281898296,1445.5318737049515,1111.111111111111,34.87057878439324,0.9444934698275547,2.027805589420705,7.23623051085457,6.988220106671179,True
RT/duroid 5880,2.2,0.0009,2.031035,0.016542372881355932,48.532148695626454,40.332170177134834,1957.4068802540187,2.089540529791959,230.75419471497491,True,13.950017568124517,35.04537974162266,1518.6642720517036,1111.111111111111,33.230423987855794,0.9482112687279207,2.127891223889192,7.239888202271723,7.008939324812276,True
