substrate,eps_r,tan_delta,h_mm,h_over_lambda0,W_mm,L_mm,area_mm2,eps_eff,R_edge_ohm,matchable_by_inset,inset_mm,Q_rad,Q_c,Q_d,Q_t,efficiency,bandwidth_pct,directivity_dBi,gain_dBi,in_thin_substrate_range,meets_spec,reason
RT/duroid 5880,2.2,0.0009,3.230048,0.02630809992357594,48.532148695626454,39.529973128900664,1918.4745338259252,2.047380429911505,232.98485891802676,True,13.704290934691974,21.254983001782065,2415.2019608099945,1111.111111111111,20.677461825211505,0.9728289043316506,3.4196782062357887,7.279339289778149,7.159703946947684,True,True,
RO4003C,3.55,0.0027,3.896515,0.031736344003311184,40.70041245692691,30.96867762156186,1260.4379524431697,3.1447778328245293,265.11030780335966,True,11.055885577932749,22.066131559386655,2913.5391947119774,370.3703703703703,20.67758602105682,0.9370734496623099,3.4196576674279653,6.4426553067081045,6.160391637494761,True,True,
FR-4,4.4,0.02,2.819231,0.022962075838482126,37.36006548502783,28.38676014951986,1060.5312180938404,3.931517781464314,183.9295182839697,True,9.237483675918,35.8583413179101,2108.021892514983,50.0,20.677437302514747,0.5766423248413619,3.419682261690113,6.124374989464617,3.733440148523562,True,False,"efficiency 57.7% < 80%: bandwidth comes from dissipation, not radiation"
RT/duroid 6010.2LM,,,,,,,,,,,,,,,,,,,,,False,bandwidth not reachable within 0.05 lambda0
